title,alias,artists,artist_aliases,country,genre,language,duration,notes,release_year,release_month
thicc (feat. Cosha),,"Shygirl, Cosha",,UK,Dance pop,English,222,Pop,,
The Substance,,Raffertie,,UK,Dark ambient,,150,Fx,2024,9
Vmeste My,,"5sta Family, 6YNTHMANE, budAGE",,Russia,Dark pop,Russian,123,R/U,,
Headlock,,Imogen Heap,,UK,Electropop,English,215,Pop,2006,9
Strange Moves (feat. KAZAKY),,"The Hardkiss, KAZAKY",,Ukraine,Electropop,English,191,R/U,,
"Кохаю, але не зовсім","Kokhaju, ale ne zovsim",DOROFEEVA,,Ukraine,Dance pop,Ukrainian,199,R/U,,
Японія,Japonija,DOROFEEVA,,Ukraine,Dance pop,Ukrainian,154,R/U,2025,11
Забий,Zabyj,"Wellboy, Parfeniuk",,Ukraine,Dance pop,Ukrainian,194,R/U,,
Температура,Temperatura,"Parfeniuk, KOLA",,Ukraine,Dance pop,Ukrainian,176,R/U,,
Долоні,Doloni,Parfeniuk,,Ukraine,Dance pop,Ukrainian,164,R/U,,
Smoke Me,,"Sasha Lopez, Misha Miller",,Moldova,Pop,English,220,Pop,2020,1
Touché,Touché,"Misha Miller, SICKOTOY",,Moldova,Pop,French,151,Pop,,
Касета,Kaseta,SadSvit,,Ukraine,Post punk,Ukrainian,144,R/U,2022,10
Opr,,Gesaffelstein,,France,Dark techno,,233,Fx,2020,12
I Felt Love,,Blue Hawaii,,Canada,Synth pop,English,192,Fx,2020,9
Como La Flor,,Selena,,USA,Tejano cumbia,Spanish,184,Latin,2005,4
Cry for You,,September,,Sweden,Dance pop,English,209,Pop,2008,12
Anthonio,,Annie,,Norway,Synth pop,English,201,Fx,2009,12
Lo Siento (feat. KARD),,"SUPER JUNIOR, KARD",,Korea,Latin pop,Korean,226,"K, Latin",,
MASCARA,,"Nicki Nicole, Duki",,Argentina,Latin,Spanish,145,Latin,2024,11
Wall Of Sleep (Harvey McKay Remix) (feat. HAAi),,"Daniel Avery, HAAi",,UK,Electronic,English,293,Fx,,
Bésame,Bésame,Juan Gabriel,,Mexico,Pop,Spanish,248,Latin,1988,
Quimbara,,"Celia Cruz, Johnny Pacheco",,Cuba,Salsa,Spanish,291,Latin,2014,
Toro Mata,,"Celia Cruz, Johnny Pacheco",,Cuba,Salsa,Spanish,342,Latin,1996,
A Papá,A Papá,"Celia Cruz, Willie Colón",Willie Colón,Cuba,Salsa,Spanish,250,Latin,,
Pun Pun Catalú,Pun Pun Catalú,"Celia Cruz, Willie Colón",Willie Colón,Cuba,Salsa,Spanish,205,Latin,1993,12
Dulce Habanera,,"Celia Cruz, Willie Colón",Willie Colón,Cuba,Salsa,Spanish,246,Latin,2024,7
Movie Disco,,Felix Da Housecat,,USA,House funk,English,203,Fx,,
EXTRA,,전소미,jeonsomi,Korea,City pop,Korean,150,K,,
Sync,,TaQ,,Japan,Trance,,230,J,2003,8
I'm Ready,,Kano,,Italy,Italo disco,English,432,Ox,1990,
Forget Me Nots,,Patrice Rushen,,USA,Dance funk,English,283,Ox,2005,1
Ain't Nobody,,"Chaka Khan, Rufus",,USA,Funk,English,281,Ox,2004,2
Never Too Much,,Luther Vandross,,USA,R&B,English,230,Ox,2016,10
Ring My Bell,,Anita Ward,,USA,Disco,English,491,Ox,1995,
Bootleg,,Death Grips,,USA,Experimental,English,126,Fx,2014,1
This Is Violence Now (Don't Get Me Wrong),,Death Grips,,USA,Experimental,English,157,Fx,2013,11
Residue,,A.G. Cook,,UK,Acid techno,,208,Fx,,
Si un jour,,La Femme,,France,Synth pop,French,158,Fr,2013,4
Antes Muerta Que Sencilla,,Los Horóscopos De Durango,Los Horóscopos De Durango,USA,Duranguense,Spanish,170,Latin,,
I can't Wait,,Nu Shooz,,USA,Dance pop,English,326,80s,1999,
Mother's Talk,,Tears For Fears,,UK,New wave,English,306,80s,1985,
You Spin Me Round (Like a Record),,Dead Or Alive,,UK,Synth pop,English,195,80s,,
3 Words (feat. will.i.am),,"Cheryl Cole, will.i.am",,UK,Dance pop,English,273,Pop,,
Ready for the Weekend,,Icona Pop,,UK,Electro house,English,162,Pop,,
"Sun Goes Down (feat. The Knocks, St. Lucia)",,"Icona Pop, The Knocks, St. Lucia",,UK,Dance pop,English,195,Pop,,
Haboglabotribin',,Bernard Wright,,USA,Funk,English,259,Ox,2008,
Rip Off,,After School,,Korea,Kpop,Korean,177,K,2012,6
Happy Days,,Brooke Candy,,USA,Electro pop,English,222,Pop,2017,7
Destroy Everything You Touch,,Ladytron,,UK,Electro pop,English,276,Pop,2024,10
Good Clean Fun,,Clearlake,,UK,Indie rock,English,234,Pop,2005,12
Sun Is Shining,,"Bob Marley, The Wailers",,Jamaica,Reggae,English,298,Reggae,2004,
WHISTLE,,BLACKPINK,,Korea,Kpop,Korean,211,K,2018,12
ILYSM,,"Steve Aoki, Autoerotique",,USA,EDM,English,200,Fx,2016,10
Masterplan (feat. Miss Kittin),,"Miss Kittin, The Hacker",,France,Dance pop,English,390,Fx,,
Half Bad,,White Reaper,,USA,Alt rock,English,163,Punk,2015,
I'd Rather Be with You,,Bootsy Collins,,USA,Funk,English,297,Cx,2001,11
ALL OF YOU SAY,,MINZY,,Korea,Pop,English,151,K,2018,12
Keep Up,,Hyper Crush,,USA,Neon electro,English,193,Fx,2009,11
Flip the Switch,,Hyper Crush,,USA,Neon electro,English,203,Fx,2012,2
Take Me Back,,KaW,,USA,Electronic,English,123,IIDX+,2003,
Disconnected,,Inspector K,,USA,Electronic,English,121,IIDX+,,
Infection,,Inspector K,,USA,Electronic,English,138,IIDX+,2005,
Tension,,Inspector K,,USA,Electronic,English,120,IIDX+,,
Nóng (feat. Hạnh Sino),Nóng,"BigDaddy, Hạnh Sino",Hạnh Sino,Vietnam,V pop,Vietnamese,197,Viet,,
Paralyzed,,Agnes Monica,,Indonesia,Pop,Indonesian,217,Indo,,
I Feel Love,,Donna Summer,,USA,Disco,English,493,Cx,1977,
Give Me the Night,,George Benson,,USA,R&B,English,301,Ox,2011,
Take My Hand,,Charli XCX,,UK,Pop,English,266,Fx,2013,10
Stay Away,,Charli XCX,,UK,Dark wave,English,227,Fx,2012,5
Set Me Free (Feel My Pain),,Charli XCX,,UK,Dark wave,English,233,Fx,2013,4
Grins,,Charli XCX,,UK,Dark wave,English,232,Fx,2012,6
You're the One,,Charli XCX,,UK,Dark wave,English,195,Fx,2012,9
1999,,"Charli XCX, Troye Sivan",,UK,Pop,English,189,Fx,2020,7
Paradise (feat. Hannah Diamond),,"Charli XCX, Hannah Diamond",,UK,Dark wave,English,181,Fx,,
Secret (Shh),,Charli XCX,,UK,Pop,English,205,Fx,2016,
Dying for You,,Charli XCX,,USA,Pop,English,182,Soundtrack,2026,2
Seeing Things,,Charli XCX,,USA,Pop,English,150,Soundtrack,2026,2
Altars,,Charli XCX,,USA,Pop,English,176,Soundtrack,2026,2
Always Everywhere,,Charli XCX,,USA,Pop,English,183,Soundtrack,2026,2
Eyes of the World (feat. Sky Ferreira),,"Charli XCX, Sky Ferreira",,USA,Pop,English,223,Soundtrack,,
My Reminder,,Charli XCX,,USA,Pop,English,213,Soundtrack,2026,2
Hello goodbye,,Charli XCX,,USA,Pop,English,219,Fx,,
Sentence,,"A.G. Cook, Thy Slaughter, Finn Keane",,UK,EDM,,143,Fx,,
Magic's In The Makeup,,No Doubt,,USA,Pop,English,261,Pop,2011,10
Artificial Sweetener,,No Doubt,,USA,Pop,English,234,Pop,2000,4
