title,alias,artists,artist_aliases,country,genre,language,duration,notes
"Lo Siento (feat. KARD)",,"SUPER JUNIOR, KARD",,Korea,Kpop,Korean,226,K
"Forces Of Viktry",,"Linton Kwesi Johnson",,UK,"Dub poetry",English,294,Reggae
"Indapendent Intavenshan",,"Linton Kwesi Johnson",,UK,"Dub poetry",English,259,Reggae
"Reality Poem",,"Linton Kwesi Johnson",,UK,"Dub poetry",English,284,Reggae
"Reggae Sounds",,"Linton Kwesi Johnson",,UK,"Dub poetry",English,188,Reggae
Clampdown,,"The Clash",,UK,Rock,English,229,Ox
"The Guns of Brixton",,"The Clash",,UK,Rock,English,189,Ox
"Имя 505","Ymja 505","Время и Стекло","Vremja y Steklo",Ukraine,Hip-house,Russian,198,R/U
"Песня 404","Pesnja 404","Время и Стекло","Vremja y Steklo",Ukraine,Hip-house,Russian,213,R/U
Back2Leto,,"Время и Стекло","Vremja y Steklo",Ukraine,Hip-house,Russian,187,R/U
"На Cтиле","Na Ctyle","Время и Стекло","Vremja y Steklo",Ukraine,Hip-house,Russian,225,R/U
"Дим",Dym,"Время и Стекло","Vremja y Steklo",Ukraine,Hip-house,Russian,197,R/U
"Навернопотомучто",Navernopotomuchto,"Время и Стекло","Vremja y Steklo",Ukraine,Hip-house,Russian,190,R/U
Vislovo,,"Время и Стекло","Vremja y Steklo",Ukraine,Hip-house,Russian,186,R/U
"Ритм 122","Rytm 122","Время и Стекло","Vremja y Steklo",Ukraine,Hip-house,Russian,263,R/U
"Опасно 220","Opasno 220","Время и Стекло","Vremja y Steklo",Ukraine,Hip-house,Russian,176,R/U
"Кружить - Repaired","Kruzhyt' - Repaired",MONATIK,,Ukraine,Pop,Ukrainian,198,R/U
"Vitamin D - Repaired",,MONATIK,,Ukraine,Pop,Ukrainian,209,R/U
"одасвобода",odasvoboda,MONATIK,,Ukraine,Pop,Ukrainian,154,R/U
"夜",yoru,MUCC,,Japan,Jrock,Japanese,337,J
"絶望",zetsubou,MUCC,,Japan,Jrock,Japanese,263,J
Libra,,MUCC,,Japan,Jrock,Japanese,294,J
Saishuuressha,,MUCC,,Japan,Jrock,Japanese,238,J
